10.23.25-10.31.25,Ace,Adam,Tupac,,
Members attended to,150,112,15,,
Phone Time,7:30 hours,6:45 hours,5:01 hours,,
CRM Tasks,38,26,N/A,***Adam was off 10.24.25,
Incomplete/Next Week Tasks,11| 30,14 | 16,N/A,***Incomplete tasks are for 10.31 (day not finished upon submission of report),
RX Requests,1,3,N/A,,
Imaging Requests ,0,0,N/A,,
Lab Requests,1,1,N/A,,
Appt Requests,0,1,N/A,,
10.17.25-10.23.25,Ace,Adam,Tupac,,
Members attended to,148,99,6,,
Phone Time,9:23 hours,5:33 hours,5:28 hours,,
CRM Tasks,41,29,N/A,***Adam was off 10.17.25,
Incomplete/Next Week Tasks,16| 32,14 | 24,N/A,"***Ace was instructed to complete her past due tasks, she asked for an extension to finish the (16) pending ones. JA approved. ",
RX Requests,2,3,N/A,,
Imaging Requests ,0,0,N/A,,
Lab Requests,0,1,N/A,,
Appt Requests,1,0,N/A,,
10.10.25-10.16.25,Ace,Adam,,,
Members attended to,96,118,,,
Phone Time,9:12 hours,9:49 hours,,,
CRM Tasks,7,29,,***Adam was off 10.10.25,
Incomplete/Next Week Tasks,25| 18,0 | 21,,***Ace was off 10.13.25,
RX Requests,2,2,,***Tupac is helping with the phones and has been asked to start loggin his activity. ,
Imaging Requests ,0,0,,,
Lab Requests,0,0,,,
Appt Requests,0,2,,,
10.03.25-10.09.25,Ace,Adam,,,
Members attended to,93,130,,,
Phone Time,9:12 hours,9:49 hours,,,
CRM Tasks,9,21,,***Adam was off on 10.03.25,
Incomplete/Next Week Tasks,22| 23,12 | 13,,"***Acelyn did not respond to a Allison O'Connors concern, even though she was instructed and given information to do so. Left 22 incomplete tasks and did not forward the phones for the weekend. ",
RX Requests,2,2,,"***Tupac helps with inbound phone calls for Concierge, but does not track his actibity in daily logs. ",
Imaging Requests ,0,0,,,
Lab Requests,0,0,,,
Appt Requests,0,2,,,
09.26.25-10.02.25,Ace,Adam,,,
Members attended to,93,130,,***Ace was off 09.26.25,
